PLAYER NAME,Scoring Average,Total Strokes Gained,GIR Percentage,Putts Per Hole,Scrambling Percentage,Hit Fairway Percentage,Driving Accuracy Percentage,Driving Distance,Expected Score from Fairway
Collin Morikawa,69.69,70.683,70.8,1.611,57.56,69.37,69.6,295.2,1 Under
Paul Casey,70.1,70.755,68.83,1.625,61.63,62.63,62.2,303.9,1 Under
Justin Thomas,69.54,98.176,67.79,1.582,61.81,54.97,55.72,303.9,1 Under
Keegan Bradley,70.2,62.396,69.96,1.642,59.14,65.58,65.03,300.2,1 Under
Daniel Berger,69.25,94.573,70.5,1.604,63,65.55,65.48,296.7,2 Under
Russell Henley,69.62,74.223,69.44,1.62,63.85,67.07,67.07,289.8,1 Under
Will Zalatoris,69.92,76.016,69.54,1.637,61.22,56.26,56.4,307.4,1 Under
Jon Rahm,69.04,134.286,71.93,1.61,62.98,62.53,63.73,309,2 Under
Corey Conners,69.88,95.915,69.93,1.626,58.44,68.79,70.15,295.4,1 Under
Cameron Percy,70.38,6.486,72.58,1.649,57.11,63.27,63.66,286.7,1 Under
Matthew NeSmith,70.61,18.782,71.09,1.664,53.71,65.04,65.09,295.9,1 Under
Emiliano Grillo,69.78,38.761,71.47,1.629,58.82,65.07,64.78,298.2,1 Under
Tyrrell Hatton,70.36,53.583,63.89,1.573,60.99,62.6,63.02,299,1 Under
Xander Schauffele,69.71,93.464,68.64,1.594,59.21,59.4,58.83,307.6,1 Under
Viktor Hovland,69.81,92.14,68.61,1.588,60.77,63.22,63.86,302.2,1 Under
Charley Hoffman,69.99,94.36,67.85,1.594,61.08,56.55,57.11,306.5,1 Under
Hideki Matsuyama,70.15,53.833,67.03,1.597,61.05,62.4,62.25,299.9,1 Under
Kyle Stanley,70.61,3.612,69.88,1.651,59.63,66.83,66.72,292.1,1 Under
Shane Lowry,70.58,51.97,68.35,1.63,57.74,58.35,59.91,299.6,1 Under
Russell Knox,70.41,15.491,70.41,1.646,61.43,66.4,66.17,291.2,1 Under
Doug Ghim,69.98,46.081,69.64,1.611,62.77,70.29,68.55,292.9,1 Under
Chez Reavie,70.82,13.257,67.13,1.638,58.35,74.5,74.11,281.9,1 Under
Abraham Ancer,69.53,100.646,69.27,1.586,64.58,71.04,71.05,290.4,2 Under
Patrick Cantlay,69.4,123.758,70.16,1.598,67.3,60.21,60.71,302.8,2 Under
Brooks Koepka,69.71,70.588,68.01,1.599,57.89,55.68,56.63,310.7,1 Under
Harold Varner III,70.3,68.091,67.78,1.625,58.43,60.42,59.87,300.7,1 Under
Henrik Norlander,70.81,0.977,69.18,1.657,60.52,67.31,67.09,294.1,1 Under
Tony Finau,69.83,81.346,67.1,1.581,59.47,57.06,56.29,305.5,1 Under
Louis Oosthuizen,69.72,95.967,67.64,1.592,63.81,62.4,63.47,297.8,1 Under
Sam Burns,69.61,91.095,67.79,1.584,57.29,58.65,58.9,305.3,1 Under
Matt Wallace,71.34,33.253,63.94,1.61,53.49,59.13,59.84,298.4,Under
Talor Gooch,70.1,56.476,65.8,1.593,63,60.16,60.16,299.1,1 Under
Kevin Streelman,70.07,56.557,69.21,1.618,57.14,66.27,66.32,295.6,1 Under
Stewart Cink,70.1,36.1,69.44,1.623,58.18,57.61,56.42,306.6,1 Under
Rory McIlroy,70.14,86.205,65.77,1.581,57.89,57.31,57.36,319.3,1 Under
Michael Gellerman,71.51,-20.297,70.8,1.687,53.85,67.74,65.96,292.1,Under
